ID_Equipo;Tag_Corporativo;Modelo_Laptop;RAM_GB;CPU_Temp_C;Bat_Ciclos;Bat_Health_Pct;Consumo_kWh_Mes;Horas_Uso_Dia;Estado_Hardware;Vida_Util_Meses;Alerta_Obsolescencia;
EQ-001;LAP-ADM-01;ThinkPad E14 Gen 7;16;45,2;120;92;14,5;8,5;Óptimo;33.1;OK;
EQ-002;LAP-DEV-04;ThinkPad E14 Gen 7;16;78,5;680;61;22,8;11,2;Alerta Mantenimiento;11.0;ADVERTENCIA;
EQ-003;LAP-FIN-09;ThinkPad E14 Gen 7;8;85,1;940;42;28,1;12;Riesgo Obsolescencia;2.5;CRÍTICO;
EQ-004;LAP-ADM-02;ThinkPad E14 Gen 7;16;48;210;88;15,1;8;Óptimo;31.7;OK;
EQ-005;LAP-DEV-05;ThinkPad E14 Gen 7;16;62,3;410;76;18,4;9,5;Óptimo;27.4;OK;
EQ-006;LAP-OPER-11;ThinkPad E14 Gen 7;8;81,4;890;45;26,5;11,5;Riesgo Obsolescencia;2.7;CRÍTICO;
EQ-007;LAP-ADM-03;ThinkPad E14 Gen 7;16;43,8;95;95;13,9;7,5;Óptimo;34.2;OK;
EQ-008;LAP-FIN-10;ThinkPad E14 Gen 7;8;74,2;520;68;21;10;Alerta Mantenimiento;12.2;ADVERTENCIA;
EQ-009;LAP-DEV-06;ThinkPad E14 Gen 7;16;52,1;310;82;16,8;8,5;Óptimo;29.5;OK;
EQ-010;LAP-OPER-12;ThinkPad E14 Gen 7;8;88;980;38;29,4;12,5;Riesgo Obsolescencia;2.3;CRÍTICO;
EQ-011;LAP-ADM-04;ThinkPad E14 Gen 7;16;46,5;150;90;14,8;8;Óptimo;32.4;OK;
EQ-012;LAP-DEV-07;ThinkPad E14 Gen 7;16;76;610;64;21,9;10,5;Alerta Mantenimiento;11.5;ADVERTENCIA;
EQ-013;LAP-FIN-11;ThinkPad E14 Gen 7;8;83,2;910;44;27;11,8;Riesgo Obsolescencia;2.6;CRÍTICO;
EQ-014;LAP-OPER-13;ThinkPad E14 Gen 7;8;49;230;86;15,5;8,2;Óptimo;31.0;OK;
EQ-015;LAP-ADM-05;ThinkPad E14 Gen 7;16;61;390;78;17,9;9;Óptimo;28.1;OK;
EQ-016;LAP-DEV-08;ThinkPad E14 Gen 7;16;79,8;720;58;23,5;11,5;Alerta Mantenimiento;10.4;ADVERTENCIA;
EQ-017;LAP-FIN-12;ThinkPad E14 Gen 7;8;44,1;110;93;14,1;7,8;Óptimo;33.5;OK;
EQ-018;LAP-OPER-14;ThinkPad E14 Gen 7;8;71,5;480;70;20,2;9,8;Alerta Mantenimiento;12.6;ADVERTENCIA;
EQ-019;LAP-ADM-06;ThinkPad E14 Gen 7;16;50,8;280;84;16,2;8,5;Óptimo;30.2;OK;
EQ-020;LAP-DEV-09;ThinkPad E14 Gen 7;16;86,4;960;40;28,8;12,2;Riesgo Obsolescencia;2.4;CRÍTICO;
EQ-021;LAP-OPER-15;ThinkPad E14 Gen 7;8;47,3;180;89;15;8;Óptimo;32.0;OK;
EQ-022;LAP-FIN-13;ThinkPad E14 Gen 7;8;75,1;580;65;21,5;10,2;Alerta Mantenimiento;11.7;ADVERTENCIA;
EQ-023;LAP-ADM-07;ThinkPad E14 Gen 7;16;53;330;81;17;8,8;Óptimo;29.2;OK;
EQ-024;LAP-DEV-10;ThinkPad E14 Gen 7;16;82,9;920;43;27,5;11,9;Riesgo Obsolescencia;2.6;CRÍTICO;
EQ-025;LAP-OPER-16;ThinkPad E14 Gen 7;8;45,8;140;91;14,6;7,9;Óptimo;32.8;OK;
EQ-026;LAP-ADM-08;ThinkPad E14 Gen 7;16;63,5;430;75;18,6;9,2;Óptimo;27.0;OK;
